time_s,discharge_cms
2260.0,168.33
2270.0,166.81
2280.0,165.3
2290.0,163.8
2300.0,162.32
2310.0,160.85
2320.0,159.4
2330.0,157.95
2340.0,156.52
2350.0,155.11
2360.0,153.7
2370.0,152.31
2380.0,150.93
2390.0,149.57
2400.0,148.22
2410.0,146.87
2420.0,145.54
2430.0,144.23
2440.0,142.92
2450.0,141.63
2460.0,140.35
2470.0,139.08
2480.0,137.82
2490.0,136.57
2500.0,135.34
2510.0,134.11
2520.0,132.9
2530.0,131.69
2540.0,130.5
2550.0,129.32
2560.0,128.15
2570.0,126.99
2580.0,125.84
2590.0,124.7
2600.0,123.57
2610.0,122.46
2620.0,121.35
2630.0,120.25
2640.0,119.16
2650.0,118.08
2660.0,117.01
2670.0,115.96
2680.0,114.91
2690.0,113.87
2700.0,112.84
2710.0,111.82
2720.0,110.8
2730.0,109.8
2740.0,108.81
2750.0,107.82
2760.0,106.85
2770.0,105.88
2780.0,104.92
2790.0,103.97
2800.0,103.03
2810.0,102.1
2820.0,101.17
2830.0,100.26
2840.0,99.35
2850.0,98.45
2860.0,97.56
2870.0,96.68
2880.0,95.8
2890.0,94.94
2900.0,94.08
2910.0,93.23
2920.0,92.38
2930.0,91.55
2940.0,90.72
2950.0,89.9
2960.0,89.08
2970.0,88.28
2980.0,87.48
2990.0,86.69
3000.0,85.9
3010.0,85.12
3020.0,84.35
3030.0,83.59
3040.0,82.83
3050.0,82.08
3060.0,81.34
3070.0,80.61
3080.0,79.88
3090.0,79.15
3100.0,78.44
3110.0,77.73
3120.0,77.02
3130.0,76.33
3140.0,75.64
3150.0,74.95
3160.0,74.27
3170.0,73.6
3180.0,72.94
3190.0,72.28
3200.0,71.62
3210.0,70.97
3220.0,70.33
3230.0,69.69
3240.0,69.06
3250.0,68.44
3260.0,67.82
3270.0,67.21
3280.0,66.6
3290.0,65.99
3300.0,65.4
3310.0,64.81
3320.0,64.22
3330.0,63.64
3340.0,63.06
3350.0,62.49
3360.0,61.93
3370.0,61.37
3380.0,60.81
3390.0,60.26
3400.0,59.71
3410.0,59.17
3420.0,58.64
3430.0,58.11
3440.0,57.58
3450.0,57.06
3460.0,56.54
3470.0,56.03
3480.0,55.53
3490.0,55.02
3500.0,54.53
3510.0,54.03
3520.0,53.54
3530.0,53.06
3540.0,52.58
3550.0,52.1
3560.0,51.63
3570.0,51.16
3580.0,50.7
3590.0,50.24
3600.0,49.79
